titulo,ano,nota,link
Double Indemnity,1944,8.3,https://www.imdb.comtt0036775
Up,2009,8.3,https://www.imdb.comtt1049413
North by Northwest,1959,8.3,https://www.imdb.comtt0053125
M,1931,8.3,https://www.imdb.comtt0022100
Full Metal Jacket,1987,8.2,https://www.imdb.comtt0093058
Like Stars on Earth,2007,8.3,https://www.imdb.comtt0986264
Citizen Kane,1941,8.2,https://www.imdb.comtt0033467
Amélie,2001,8.3,https://www.imdb.comtt0211915
Vertigo,1958,8.2,https://www.imdb.comtt0052357
A Separation,2011,8.3,https://www.imdb.comtt1832382
Die Hard,1988,8.2,https://www.imdb.comtt0095016
To Kill a Mockingbird,1962,8.3,https://www.imdb.comtt0056592
The Sting,1973,8.2,https://www.imdb.comtt0070735
Indiana Jones and the Last Crusade,1989,8.2,https://www.imdb.comtt0097576
A Clockwork Orange,1971,8.2,https://www.imdb.comtt0066921
Metropolis,1927,8.2,https://www.imdb.comtt0017136
Snatch,2000,8.2,https://www.imdb.comtt0208092
1917,2019,8.2,https://www.imdb.comtt8579674
L.A. Confidential,1997,8.2,https://www.imdb.comtt0119488
Downfall,2004,8.2,https://www.imdb.comtt0363163
Oppenheimer,2023,8.3,https://www.imdb.comtt15398776
Bicycle Thieves,1948,8.2,https://www.imdb.comtt0040522
Dangal,2016,8.3,https://www.imdb.comtt5074352
The Wolf of Wall Street,2013,8.2,https://www.imdb.comtt0993846
The Truman Show,1998,8.2,https://www.imdb.comtt0120382
Green Book,2018,8.2,https://www.imdb.comtt6966692
Hamilton,2020,8.3,https://www.imdb.comtt8503618
Batman Begins,2005,8.2,https://www.imdb.comtt0372784
Judgment at Nuremberg,1961,8.3,https://www.imdb.comtt0055031
Shutter Island,2010,8.2,https://www.imdb.comtt1130884
Taxi Driver,1976,8.2,https://www.imdb.comtt0075314
For a Few Dollars More,1965,8.2,https://www.imdb.comtt0059578
Some Like It Hot,1959,8.2,https://www.imdb.comtt0053291
Jurassic Park,1993,8.2,https://www.imdb.comtt0107290
There Will Be Blood,2007,8.2,https://www.imdb.comtt0469494
The Kid,1921,8.2,https://www.imdb.comtt0012349
The Father,2020,8.2,https://www.imdb.comtt10272386
All About Eve,1950,8.2,https://www.imdb.comtt0042192
The Sixth Sense,1999,8.2,https://www.imdb.comtt0167404
Ran,1985,8.2,https://www.imdb.comtt0089881
Casino,1995,8.2,https://www.imdb.comtt0112641
No Country for Old Men,2007,8.2,https://www.imdb.comtt0477348
The Thing,1982,8.2,https://www.imdb.comtt0084787
Top Gun: Maverick,2022,8.2,https://www.imdb.comtt1745960
The Chaos Class Failed the Class,1975,8.6,https://www.imdb.comtt0252488
Pan's Labyrinth,2006,8.2,https://www.imdb.comtt0457430
Unforgiven,1992,8.2,https://www.imdb.comtt0105695
Prisoners,2013,8.2,https://www.imdb.comtt1392214
Kill Bill: Vol. 1,2003,8.2,https://www.imdb.comtt0266697
A Beautiful Mind,2001,8.2,https://www.imdb.comtt0268978
The Treasure of the Sierra Madre,1948,8.2,https://www.imdb.comtt0040897
Howl's Moving Castle,2004,8.2,https://www.imdb.comtt0347149
Finding Nemo,2003,8.2,https://www.imdb.comtt0266543
Yojimbo,1961,8.2,https://www.imdb.comtt0055630
The Great Escape,1963,8.2,https://www.imdb.comtt0057115
Monty Python and the Holy Grail,1975,8.2,https://www.imdb.comtt0071853
The Elephant Man,1980,8.2,https://www.imdb.comtt0080678
The Best of Youth,2003,8.4,https://www.imdb.comtt0346336
Klaus,2019,8.2,https://www.imdb.comtt4729430
Dial M for Murder,1954,8.2,https://www.imdb.comtt0046912
Gone with the Wind,1939,8.2,https://www.imdb.comtt0031381
The Secret in Their Eyes,2009,8.2,https://www.imdb.comtt1305806
Chinatown,1974,8.1,https://www.imdb.comtt0071315
"Lock, Stock and Two Smoking Barrels",1998,8.1,https://www.imdb.comtt0120735
Demon Slayer: Kimetsu no Yaiba- The Movie - Infinity Castle,2025,8.5,https://www.imdb.comtt32820897
V for Vendetta,2005,8.1,https://www.imdb.comtt0434409
Rashomon,1950,8.1,https://www.imdb.comtt0042876
Inside Out,2015,8.1,https://www.imdb.comtt2096673
Catch Me If You Can,2002,8.1,https://www.imdb.comtt0264464
"Three Billboards Outside Ebbing, Missouri",2017,8.1,https://www.imdb.comtt5027774
Trainspotting,1996,8.1,https://www.imdb.comtt0117951
The Bridge on the River Kwai,1957,8.1,https://www.imdb.comtt0050212
Harry Potter and the Deathly Hallows: Part 2,2011,8.1,https://www.imdb.comtt1201607
Fargo,1996,8.1,https://www.imdb.comtt0116282
Raging Bull,1980,8.1,https://www.imdb.comtt0081398
Dead Poets Society,1989,8.1,https://www.imdb.comtt0097165
Warrior,2011,8.1,https://www.imdb.comtt1291584
The Wild Robot,2024,8.2,https://www.imdb.comtt29623480
Barry Lyndon,1975,8.1,https://www.imdb.comtt0072684
Million Dollar Baby,2004,8.1,https://www.imdb.comtt0405159
Ben-Hur,1959,8.1,https://www.imdb.comtt0052618
Mad Max: Fury Road,2015,8.1,https://www.imdb.comtt1392190
Gran Torino,2008,8.1,https://www.imdb.comtt1205489
My Neighbor Totoro,1988,8.1,https://www.imdb.comtt0096283
Children of Heaven,1997,8.2,https://www.imdb.comtt0118849
Hacksaw Ridge,2016,8.1,https://www.imdb.comtt2119532
